id	segmented_sentence	merged_word
23	江泽民  指出  ，  #中 法#  两国  都  有  悠久  的  历史  和  文化  ，  中国政府  愿  同  法国  政府  共同  努力  ，  不断  推动  两国  关系  向前  发展  ，  这  不仅  符合  双方  的  利益  ，  也  有利于  世界  的  和平  、  稳定  与  发展  。	中法
24	江泽民  说  ，  近几年来  #中 法#  两国  关系  发展  势头  很  好  ，  他  本人  和  希拉克  总统  也  有着  很  好  的  关系  。	中法
25	各  省  、  自治区  、  直辖市  及  各  市  （  地  ）  、  县  人民政府  主要  负责人  ，  分管  粮食  、  财政  、  金融  工作  的  负责人  ，  计（经）委  、  财政厅（局）  、  农业厅（局）  、  工商局  、  物价局  、  粮食局  、  农业发展银行  、  农业银行  的  负责人  在  #分 会场#  出席  会议  。	分会场
26	国有  粮食  收储  企业  以外  的  其他  已经  实行  独立核算  的  国有  粮食  加工  、  批发  、  零售  企业  ，  应  按  #购 得#  进  、  销  得  出  的  原则  ，  在  进  价  基础  上  自  定  销售  价格  ，  自负盈亏  。	购得
27	国有  粮食  收储  企业  以外  的  其他  已经  实行  独立核算  的  国有  粮食  加工  、  批发  、  零售  企业  ，  应  按  购  得  进  、  销  #得 出#  的  原则  ，  在  进  价  基础  上  自  定  销售  价格  ，  自负盈亏  。	得出
28	国有  粮食  收储  企业  以外  的  其他  已经  实行  独立核算  的  国有  粮食  加工  、  批发  、  零售  企业  ，  应  按  购  得  进  、  销  得  出  的  原则  ，  在  #进 价#  基础  上  自  定  销售  价格  ，  自负盈亏  。	进价
29	但是  ，  工作  进展  还  #不 平衡#  ，  存在  一些  亟待  解决  的  问题  。	不平衡
30	中国科学院  今天  在  此间  宣布  ，  由  中国  和  美国  等  国家  共同  研制  的  一个  重  达  ３吨  的  宇宙  探测器  “  阿尔法  磁  谱  仪  ”  将  于  北京时间６月３日早上６时１０分  于  美国肯尼迪航天中心  由  “  #发现 号#  ”  航天飞机  送入  太空  。	发现号
31	学员  们  在  发言  中  认为  ，  通过  学习  和  研讨  ，  对  进一步  解放  思想  ，  坚持  实事求是  ，  增强  贯彻执行  党  的  基本  理论  、  基本  纲领  的  自觉性  和  #坚定 性#  ，  用  党  的  十五大  精神  进一步  统一  大家  的  思想  和  行动  ，  都是  很  有  好处  的  。	坚定性
32	#本 期#  研讨  班  于  ５月１１日  开学  ，  共有  ８２名  学员  ，  其中  中央委员  ４１  人  ，  候补  中央委员  ４１  人  。	本期
33	参加  “  #手 拉手#  ”  互助  活动  的  各族  少年儿童  的  代表  ，  获得  “  宋庆龄  奖学金  ”  的  少先队员  代表  ，  “  全国  十佳  春  蕾  女童  ”  和  北京市  、  天津市  “  十佳  少先队员  ”  ，  “  全国  十佳  春  蕾  园丁  ”  、  实施  春  蕾  计划  的  先进集体  和  先进个人  等  共  ２００多名  少年儿童  及  儿童  工作者  以及  有关  部门  负责人  参加  了  今天  的  会见  和  汇报会  。	手拉手
34	会见  之后  ，  国务院妇女儿童工作委员会  在  人民大会堂  举办  了  “  各族  少儿  #手 拉手#  ，  共同  奔  向  新世纪  ”  汇报会  。	手拉手
35	江泽民  同志  还  尖锐  地  指出  ，  有的  地方  和  部门  财政  状况  紧张  ，  #连 发#  工资  都  困难  ，  而  领导干部  人  手  一  部  “  大哥大  ”  ，  有  这个  必要  吗  ？	连发
36	江泽民  同志  还  尖锐  地  指出  ，  有的  地方  和  部门  财政  状况  紧张  ，  连  发  工资  都  困难  ，  而  领导干部  #人 手#  一  部  “  大哥大  ”  ，  有  这个  必要  吗  ？	人手
37	他  还  深入  到  全国  公安  系统  文明  服务  示范  单位  南宁市公安局车辆管理所  ，  同  办事  窗口  的  工作人员  和  办理  车辆  #证 照#  的  群众  亲切  交谈  。	证照
38	他  说  ，  哥白尼  提出  日心说  时  是  ３８岁  ；  牛顿  和  莱布尼兹  发明  微积分  时  ，  分别  是  ２２岁  和  ２８岁  ；  达尔文  进行  环球  航行  时  是  ２２岁  ，  后来  写出  了  著名  的  《  物种  起源  》  ；  爱迪生  发明  留声机  时  是  ２９岁  ，  发明  电灯  时  是  ３１岁  ；  贝尔  发明  电话  时  是  ２９岁  ；  居里夫人  发现  钍  、  钋  、  镭  三  元素  的  放射性  时  是  ３１岁  ，  #得 了#  第一次  诺贝尔  奖  ，  后来  又  发现  两种  新  元素  ，  第二次  得  了  诺贝尔  奖  ，  时  年  ４６岁  ；  爱因斯坦  提出  狭义  相对论  时  才  ２６岁  ，  提出  广义  相对论  时  是  ３７岁  ；  李政道  、  杨振宁  提出  弱  相互  作用  下  宇  称  不  守恒定律  时  ，  分别  为  ３０岁  、  ３４岁  。	得了
39	他  说  ，  哥白尼  提出  日心说  时  是  ３８岁  ；  牛顿  和  莱布尼兹  发明  微积分  时  ，  分别  是  ２２岁  和  ２８岁  ；  达尔文  进行  环球  航行  时  是  ２２岁  ，  后来  写出  了  著名  的  《  物种  起源  》  ；  爱迪生  发明  留声机  时  是  ２９岁  ，  发明  电灯  时  是  ３１岁  ；  贝尔  发明  电话  时  是  ２９岁  ；  居里夫人  发现  钍  、  钋  、  镭  三  元素  的  放射性  时  是  ３１岁  ，  得  了  第一次  诺贝尔  奖  ，  后来  又  发现  两种  新  元素  ，  第二次  #得 了#  诺贝尔  奖  ，  时  年  ４６岁  ；  爱因斯坦  提出  狭义  相对论  时  才  ２６岁  ，  提出  广义  相对论  时  是  ３７岁  ；  李政道  、  杨振宁  提出  弱  相互  作用  下  宇  称  不  守恒定律  时  ，  分别  为  ３０岁  、  ３４岁  。	得了
40	老一辈  科学家  是  新中国  科学技术  事业  的  #开拓 者#  和  奠基人  ，  为  祖国  科技  事业  和  整个  建设  事业  的  发展  建立  了  丰功伟绩  。	开拓者
41	长春市  在  完善  中心  市场  建设  的  同时  ，  加强  各类  专业  市场  的  规划  和  管理  ，  逐步  形成  劳动  部门  统一  管理  ，  各类  市场  相互  衔接  ，  为  实施  再就业  工程  提供  高标准  、  #大 容量#  、  多功能  现代化  服务  的  劳动力  市场  体系  。	大容量
42	各级  工会  在  职工  中  开展  “  #手 拉手#  献  爱心  ”  活动  ，  共青团  组织  在  全省  青年  中  开展  “  争  当  创业  带头人  ”  活动  ，  妇联  在  全省  妇女  中  开展  “  巾帼  创业  ”  活动  ，  在  引导  职工  转变  择业  观念  ，  树立  自立  自强  意识  ，  组织  再就业  培训  ，  帮助  职工  实现  再就业  方面  做  了  卓有成效  的  工作  。	手拉手
43	各级  工会  在  职工  中  开展  “  手  拉手  #献 爱心#  ”  活动  ，  共青团  组织  在  全省  青年  中  开展  “  争  当  创业  带头人  ”  活动  ，  妇联  在  全省  妇女  中  开展  “  巾帼  创业  ”  活动  ，  在  引导  职工  转变  择业  观念  ，  树立  自立  自强  意识  ，  组织  再就业  培训  ，  帮助  职工  实现  再就业  方面  做  了  卓有成效  的  工作  。	献爱心
44	本报  北京  ５月３１日  讯  为了  支持  和  推动  拯救  、  保护  濒危  珍稀  野生动物  工作  ，  宣传  保护  野生动物  对  人类  、  自然界  生态平衡  的  意义  ，  中国人民银行  #定 于#  １９９８年６月２日  发行  中国  珍稀  野生动物  —  —  —  朱  （  音  缳  ）  、  丹顶鹤  特种  纪念币  各  一套  （  每  套  １  枚  ）  。	定于
45	清查  重点  ：  一  是  已  办理  工商  登记  而  未  办理  税务  登记  的  单位  和  个人  ；  二  是  按  规定  不  需  办理  工商  登记  而  由  有关  机关  批准  设立  未  办理  税务  登记  的  单位  和  个人  ；  三  是  其他  已  发生  纳税  义务  但  未  按  规定  办理  税务  登记  的  单位  和  个人  ；  四  是  未  申报  或  异常  申报  的  单位  和  个人  ；  五  是  代  征  #代 扣#  单位  ；  六  是  各类  集贸  市场  及  专业  市场  。	代扣
46	他  希望  #中 法#  两国  人民  之间  、  中国全国政协  同  法国参议院  之间  的  友谊  与日俱增  ，  双方  的  合作  结  出  更加  丰硕  的  成果  。	中法
47	他  希望  中  法  两国  人民  之间  、  中国全国政协  同  法国参议院  之间  的  友谊  与日俱增  ，  双方  的  合作  #结 出#  更加  丰硕  的  成果  。	结出
48	李瑞环  主席  说  ，  通过  同  法国  领导人  的  深入  交谈  以及  同  各界人士  的  接触  ，  感到  #中 法#  两国  建立  面向  ２１世纪  的  全面  伙伴  关系  有着  牢固  的  基础  。	中法
49	作品  通过  知青  子女  韩慧姑  从  边远地区  来到  #大 都市#  谈  中学  的  经历  ，  使  人们  认识  到  艰难  的  环境  ，  往往  是  培养  人  坚韧  品格  的  良好  时机  。	大都市
50	章庄铺镇  分流  十八名  干部  办  起  四万亩  示范  基地  ，  在  全  镇  形成  六条  #产业 链#  ，  使  全  镇  农民  年  人均  增收  二百七十多元  。	产业链
